AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2012,Particular Pagado,Región de Antofagasta,Educacion Basica,5.577878787878788
2012,Particular Pagado,Región de Antofagasta,Educacion Media,5.203642264695276
2012,Particular Pagado,Región de Arica y Parinacota,Educacion Basica,6.06093229744728
2012,Particular Pagado,Región de Arica y Parinacota,Educacion Media,5.534897959183673
2012,Particular Pagado,Región de Atacama,Educacion Basica,5.894779116465863
2012,Particular Pagado,Región de Atacama,Educacion Media,5.434745762711865
2012,Particular Pagado,Región de Coquimbo,Educacion Basica,5.764009831460674
2012,Particular Pagado,Región de Coquimbo,Educacion Media,5.707056936647955
2012,Particular Pagado,Región de La Araucanía,Educacion Basica,5.554117647058824
2012,Particular Pagado,Región de La Araucanía,Educacion Media,5.555136540962288
2012,Particular Pagado,Región de Los Lagos,Educacion Basica,5.834507180798741
2012,Particular Pagado,Región de Los Lagos,Educacion Media,5.60261221486387
2012,Particular Pagado,Región de Los Ríos,Educacion Basica,5.828122819260294
2012,Particular Pagado,Región de Los Ríos,Educacion Media,5.790298507462687
2012,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.948759744861801
2012,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Media,5.7198717948717945
2012,Particular Pagado,Región de Tarapacá,Educacion Basica,5.707888349514564
2012,Particular Pagado,Región de Tarapacá,Educacion Media,5.6563758389261745
2012,Particular Pagado,Región de Valparaíso,Educacion Basica,5.827194675540766
2012,Particular Pagado,Región de Valparaíso,Educacion Media,5.500711153253526
2012,Particular Pagado,Región del Bío-Bío,Educacion Basica,5.780618909947531
2012,Particular Pagado,Región del Bío-Bío,Educacion Media,5.455676262900598
2012,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.835377092345308
2012,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.4383292383292385
2012,Particular Pagado,Región del Maule,Educacion Basica,5.922184466019417
2012,Particular Pagado,Región del Maule,Educacion Media,5.7815704387990765
2012,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Basica,5.300948237607196
2012,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Media,4.826341202191597
2012,Particular Subvencionado,Región de Antofagasta,Educacion Basica,5.406080392526892
2012,Particular Subvencionado,Región de Antofagasta,Educacion Media,5.057060697221731
2012,Particular Subvencionado,Región de Arica y Parinacota,Educacion Basica,5.531220002232391
2012,Particular Subvencionado,Región de Arica y Parinacota,Educacion Media,5.0389501980758356
2012,Particular Subvencionado,Región de Atacama,Educacion Basica,5.460388832580853
2012,Particular Subvencionado,Región de Atacama,Educacion Media,4.954494535519125
2012,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.2723209477652135
2012,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,4.768516961031679
2012,Particular Subvencionado,Región de Coquimbo,Educacion Basica,5.427034944549069
2012,Particular Subvencionado,Región de Coquimbo,Educacion Media,5.058772243584011
2012,Particular Subvencionado,Región de La Araucanía,Educacion Basica,5.201972098660019
2012,Particular Subvencionado,Región de La Araucanía,Educacion Media,4.750485583303173
2012,Particular Subvencionado,Región de Los Lagos,Educacion Basica,4.973127841534979
2012,Particular Subvencionado,Región de Los Lagos,Educacion Media,4.79051434603205
2012,Particular Subvencionado,Región de Los Ríos,Educacion Basica,5.23251984843017
2012,Particular Subvencionado,Región de Los Ríos,Educacion Media,4.925583103764922
2012,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.79289725299742
2012,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Media,5.4276037256562235
2012,Particular Subvencionado,Región de Tarapacá,Educacion Basica,5.332904516866781
2012,Particular Subvencionado,Región de Tarapacá,Educacion Media,4.935353378797273
2012,Particular Subvencionado,Región de Valparaíso,Educacion Basica,5.409652962117916
2012,Particular Subvencionado,Región de Valparaíso,Educacion Media,5.033886838868389
2012,Particular Subvencionado,Región del Bío-Bío,Educacion Basica,5.529389708741459
2012,Particular Subvencionado,Región del Bío-Bío,Educacion Media,5.182690543695797
2012,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.495005823114338
2012,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Media,4.962915683329758
2012,Particular Subvencionado,Región del Maule,Educacion Basica,5.377612762488156
2012,Particular Subvencionado,Región del Maule,Educacion Media,5.072975535748151
2013,Municipal,Región Metropolitana de Santiago,Educacion Basica,4.995087466338712
2013,Municipal,Región Metropolitana de Santiago,Educacion Media,4.458582713550148
2013,Municipal,Región de Antofagasta,Educacion Basica,5.214278642786428
2013,Municipal,Región de Antofagasta,Educacion Media,4.635957193816885
2013,Municipal,Región de Arica y Parinacota,Educacion Basica,5.305165603160134
2013,Municipal,Región de Arica y Parinacota,Educacion Media,4.7629957391019335
2013,Municipal,Región de Atacama,Educacion Basica,5.274843022826328
2013,Municipal,Región de Atacama,Educacion Media,4.552036806287741
